time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
Time(s), VOLT 1 [BUS1 16.500], ANGL 1 [BUS1 16.500], VOLT 2 [BUS2 230.00], ANGL 2 [BUS2 230.00], VOLT 3 [BUS3 230.00], ANGL 3 [BUS3 230.00], FREQ 1 [BUS1 16.500], FREQ 2 [BUS2 230.00], FREQ 3 [BUS3 230.00], GREFGEN1, VREFGEN1, PELECGEN1, QELECGEN1, PMECHGEN1
209.454, 0.975958, -3842, 0.992885, -3842.13, 0.993932, -3842.24, -0.00609139, -0.00609154, -0.00609152, 0.000130229, 1.01837, 0.0402257, -0.286761, 0.0304487
209.504, 0.975958, -3848.57, 0.992885, -3848.71, 0.993932, -3848.82, -0.00609151, -0.00609152, -0.00609156, 0.000130229, 1.01837, 0.0402258, -0.286761, 0.030453
209.555, 0.975958, -3855.15, 0.992885, -3855.29, 0.993932, -3855.4, -0.00609152, -0.00609152, -0.00609157, 0.000130229, 1.01837, 0.0402262, -0.286761, 0.0304572
209.605, 0.975958, -3861.73, 0.992885, -3861.87, 0.993931, -3861.98, -0.00609152, -0.00609152, -0.00609155, 0.000130229, 1.01837, 0.0402258, -0.28676, 0.0304612
209.655, 0.975956, -3868.31, 0.992883, -3868.45, 0.99393, -3868.55, -0.00609152, -0.00609153, -0.00609152, 0.000130229, 1.01837, 0.040226, -0.286759, 0.0304652
209.706, 0.975953, -3874.89, 0.99288, -3875.03, 0.993927, -3875.13, -0.00609152, -0.00609152, -0.00609151, 0.000130229, 1.01837, 0.040226, -0.286758, 0.030469
209.756, 0.97595, -3881.47, 0.992877, -3881.61, 0.993923, -3881.71, -0.00609146, -0.00609152, -0.00609152, 0.000130229, 1.01837, 0.040226, -0.286756, 0.0304728
209.806, 0.975947, -3888.05, 0.992874, -3888.18, 0.99392, -3888.29, -0.00609152, -0.00609149, -0.00609152, 0.000130229, 1.01837, 0.0402258, -0.286755, 0.0304764
209.857, 0.975944, -3894.63, 0.992871, -3894.76, 0.993917, -3894.87, -0.00609154, -0.00609151, -0.00609145, 0.000130229, 1.01837, 0.0402261, -0.286752, 0.03048
209.907, 0.975941, -3901.2, 0.992868, -3901.34, 0.993914, -3901.45, -0.00609146, -0.00609152, -0.00609148, 0.000130229, 1.01837, 0.0402258, -0.286751, 0.0304834
209.957, 0.975938, -3907.78, 0.992864, -3907.92, 0.993911, -3908.03, -0.00609154, -0.00609152, -0.00609152, 0.000130229, 1.01837, 0.040226, -0.286749, 0.0304867
